Outcome,PC,Selected,LASSO_Coefficient,PostLASSO_Coefficient,Std_Error,t_statistic,p_value,CI_95_lower,CI_95_upper,Model_R2_insample,Model_R2_CV,N_selected
X,39,1,0.03715233,0.04559678163078949,0.020588332022683422,2.2146904169095745,0.02678132108144111,0.005243650866329989,0.08594991239524899,0.138411815460191,0.07818128493656877,43
AI,39,1,0.031869277,0.03884391036003268,0.019138809448706027,2.0295886462602777,0.04239836995093648,0.0013318438405688707,0.0763559768794965,0.3680746239841085,0.32621072981209526,42
HU,39,1,0.08300527,0.09130048879229352,0.02073628668397335,4.402933378754732,1.067969688287163e-05,0.05065736689170576,0.1319436106928813,0.23611945631324804,0.19384145915219206,46
X,40,1,-0.04667548,-0.05511993113927256,0.02275384535933513,-2.422444657982117,0.015416473744695035,-0.09971746804356942,-0.01052239423497571,0.138411815460191,0.07818128493656877,43
AI,40,1,-0.04898799,-0.05596260213284556,0.01966528383387506,-2.8457561358176484,0.00443061111281125,-0.09450655844724068,-0.017418645818450443,0.3680746239841085,0.32621072981209526,42
HU,40,1,-0.03690385,-0.04519906451536432,0.0213859702656362,-2.113491413012573,0.034558729210844144,-0.08711556623601127,-0.003282562794717364,0.23611945631324804,0.19384145915219206,46
X,41,1,-0.0028103336,-0.011254780284166134,0.019776416639898375,-0.5691010909155264,0.56928753808335,-0.05001655689836695,0.02750699633003468,0.138411815460191,0.07818128493656877,43
AI,41,1,0.015765391,0.022740027305197044,0.018391308174434007,1.2364551281245044,0.21628943524291755,-0.013306936716693613,0.0587869913270877,0.3680746239841085,0.32621072981209526,42
HU,41,1,0.026321,0.03461620529761245,0.020175387777343644,1.7157640626112483,0.08620523417331587,-0.00492755474598109,0.074159965341206,0.23611945631324804,0.19384145915219206,46
X,42,1,0.014615348,0.023059791656684536,0.02288174325124926,1.0077812430408053,0.3135594924641181,-0.021788425115764017,0.06790800842913308,0.138411815460191,0.07818128493656877,43
AI,42,0,-0.0,0.0,0.0,,,,,0.3680746239841085,0.32621072981209526,42
HU,42,1,0.04833938,0.056634586472202667,0.02020775673996298,2.802616203321657,0.005068995173563913,0.017027383261875223,0.09624178968253011,0.23611945631324804,0.19384145915219206,46
X,43,1,-0.054151386,-0.0625958302792722,0.02328419997521865,-2.688339317901962,0.007180838616552104,-0.10823286223070075,-0.01695879832784364,0.138411815460191,0.07818128493656877,43
AI,43,1,-0.031674765,-0.038649391601535125,0.018514205562483788,-2.0875533368740498,0.036838145008888545,-0.07493723450400336,-0.0023615486990668996,0.3680746239841085,0.32621072981209526,42
HU,43,1,-0.059435964,-0.06773118740992962,0.02105966656174306,-3.216156685641449,0.0012991987751531364,-0.10900813387094602,-0.026454240948913223,0.23611945631324804,0.19384145915219206,46
X,44,1,0.039832197,0.04827665358910997,0.021405030691558018,2.2553881975114347,0.024108972916282365,0.006322793433656257,0.09023051374456369,0.138411815460191,0.07818128493656877,43
AI,44,1,0.023971392,0.030946034953511937,0.02009196121116716,1.5402197241109574,0.12350680361758669,-0.008434209020375696,0.07032627892739957,0.3680746239841085,0.32621072981209526,42
HU,44,1,0.030334739,0.038629954154580724,0.020449307846687526,1.889059250523151,0.05888388986876826,-0.0014506892249268252,0.07871059753408827,0.23611945631324804,0.19384145915219206,46
X,45,1,0.009333819,0.017778280464753347,0.02320403146516404,0.7661720546898795,0.44357393388068367,-0.027701621206968167,0.06325818213647486,0.138411815460191,0.07818128493656877,43
AI,45,1,0.012156614,0.019131233443488896,0.019479866466265164,0.9821029048951633,0.32604915452739236,-0.01904930483039082,0.05731177171736861,0.3680746239841085,0.32621072981209526,42
HU,45,1,0.0061676796,0.014462894901879898,0.019948818894496016,0.7250000603228839,0.46845199341836863,-0.024636790131332294,0.053562579935092086,0.23611945631324804,0.19384145915219206,46
X,46,1,-0.0011733521,-0.009617798459531214,0.023957524337854367,-0.40145210013767985,0.6880872974650523,-0.056574546161725775,0.037338949242663344,0.138411815460191,0.07818128493656877,43
AI,46,1,0.00368465,0.010659274519114074,0.019182657429007734,0.5556724639723418,0.5784347839304471,-0.02693873404174108,0.04825728307996923,0.3680746239841085,0.32621072981209526,42
HU,46,1,-0.0014161859,-0.009711382267424757,0.020900186934550806,-0.46465528264584766,0.6421783362744642,-0.05067574865914433,0.03125298412429482,0.23611945631324804,0.19384145915219206,46
X,47,1,0.04800508,0.0564495187159913,0.02098882282929459,2.689503798050236,0.007155833274886955,0.015311425970573903,0.0975876114614087,0.138411815460191,0.07818128493656877,43
AI,47,1,0.064556,0.07153062984840615,0.018941152036015763,3.776466696027455,0.0001590688174598653,0.03440597185781526,0.10865528783899704,0.3680746239841085,0.32621072981209526,42
HU,47,1,0.049948517,0.05824372571426375,0.020553103879904323,2.8338165395646744,0.004599572964063671,0.01795964210965128,0.09852780931887622,0.23611945631324804,0.19384145915219206,46
X,48,1,-0.053683247,-0.06212770161451519,0.02220569141269331,-2.797827838812598,0.005144752692018302,-0.10565085678339407,-0.018604546445636305,0.138411815460191,0.07818128493656877,43
AI,48,0,-0.0,0.0,0.0,,,,,0.3680746239841085,0.32621072981209526,42
HU,48,1,0.00857472,0.01686991984348042,0.020437414061302457,0.8254429739926362,0.4091201456500876,-0.023187411716672393,0.056927251403633236,0.23611945631324804,0.19384145915219206,46
X,49,1,-0.022424916,-0.030869351764164638,0.02255850543990359,-1.368412984911671,0.17118284204362633,-0.07508402242637567,0.013345318898046396,0.138411815460191,0.07818128493656877,43
AI,49,1,-0.0039780443,-0.010952681504283298,0.018521603614146037,-0.5913462857999019,0.5542884226094494,-0.04725502458800954,0.025349661579442937,0.3680746239841085,0.32621072981209526,42
HU,49,1,-0.040658023,-0.048953232122599014,0.02148159177663821,-2.278845656858489,0.022676241768369496,-0.0910571520048099,-0.006849312240388122,0.23611945631324804,0.19384145915219206,46
X,50,0,-0.0,0.0,0.0,,,,,0.138411815460191,0.07818128493656877,43
AI,50,1,-0.051711585,-0.058686214360367604,0.01931580333088319,-3.0382487000443206,0.002379574813083739,-0.09654518888889865,-0.020827239831836555,0.3680746239841085,0.32621072981209526,42
HU,50,1,-0.059718423,-0.06801363315011992,0.02130648324709092,-3.1921566952822285,0.0014121470182994697,-0.10977434031441813,-0.026252925985821712,0.23611945631324804,0.19384145915219206,46
