Outcome,PC,Selected,LASSO_Coefficient,LASSO_Alpha,Model_R2_insample,Model_R2_CV,N_selected
X,123,1,0.012063543,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,123,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,123,1,0.006404975,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,124,1,0.017097702,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,124,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,124,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,125,1,-0.018456822,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,125,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,125,1,-0.032480586,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,126,1,0.024107138,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,126,1,0.0028062302,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,126,1,0.054676913,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,127,1,0.05437859,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,127,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,127,1,0.025688453,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,128,1,0.028376173,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,128,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,128,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,129,1,0.03499618,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,129,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,129,1,0.018628238,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,130,1,0.03362381,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,130,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,130,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,131,1,-0.040618367,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,131,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,131,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,132,0,-0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,132,1,0.016348464,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,132,1,0.04208315,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
